customer_state,orders,payment_revenue,avg_delivery_days,late_rate,avg_freight,avg_review_score
AL,397,94195.79,24.543855361974067,0.23929471032745592,38.581284634760706,3.8527918781725887
MA,717,147807.29,21.572976474120562,0.19665271966527198,42.948633193863316,3.833567415730337
PI,476,105272.17,19.45709826291628,0.15966386554621848,42.97728991596638,3.9936305732484074
CE,1279,266463.97,21.26657863492891,0.1532447224394058,36.49678655199374,3.941869599371563
SE,335,70289.13,21.519788280818133,0.15223880597014924,40.940119402985076,3.907185628742515
BA,3256,591270.6,19.335465824489262,0.14035626535626536,29.96120085995086,3.930009290802106
RJ,12350,2055690.45,15.30943754217274,0.13473684210526315,23.947404048582996,3.965140720115743
TO,274,60007.37,17.65806260982698,0.12773722627737227,42.35350364963504,4.153846153846154
PA,946,212027.55,23.77291691136168,0.12367864693446089,39.69659619450317,3.909967845659164
ES,1995,317682.65,15.789307110368513,0.12230576441102757,24.56866165413534,4.079735906551549
RR,41,9039.52,29.387546014001806,0.12195121951219512,48.34268292682927,3.902439024390244
MS,701,134421.54,15.618319018465684,0.11554921540656206,27.01509272467903,4.160228898426324
PB,517,137834.65,20.426767609606706,0.1102514506769826,48.84280464216634,4.076171875
PE,1593,309074.59,18.448322994408407,0.10797237915881984,35.833370998116756,4.082963901203294
RN,474,100728.3,19.27815620604782,0.10759493670886076,39.25974683544304,4.149681528662421
SC,3546,595208.4,14.954782876767771,0.09757473209249859,24.84930908065426,4.133276499005399
GO,1957,334294.22,15.606338535456764,0.08175779253960143,26.25224833929484,4.10431654676259
RS,5345,861802.4,15.300276192406853,0.0714686623012161,24.803614593077643,4.1857518302984795
DF,2080,346146.17,12.96756810897436,0.07067307692307692,23.85814423076923,4.133816425120773
MT,886,181441.72,18.05575601172561,0.06772009029345373,32.768397291196386,4.146188850967008
SP,40501,5770266.19,8.761385996084925,0.058936816374904326,17.334633465840348,4.246550625315555
MG,11354,1819277.61,12.008665646060452,0.056103575832305796,23.46396336093007,4.19246787771378
PR,4923,781919.55,11.991582227413277,0.049969530773918344,23.490816575258986,4.239591836734694
AP,67,16141.81,27.185067716970703,0.04477611940298507,41.298507462686565,4.242424242424242
AM,145,27596.18,26.42599090038314,0.041379310344827586,37.44572413793104,4.243055555555555
AC,80,19586.25,21.035712962962965,0.0375,45.554500000000004,4.0875
RO,243,56975.7,19.37203651310776,0.02880658436213992,46.43308641975309,4.1652892561983474
